job_id,decision,bert_lr_score,bert_rf_score,bert_svc_score,bert_xgb_score,bert_lgb_score,bert_nn_score,bert_nb_score,bert_knn_score,bert_siamese_score
0,0,0.171537701247709,0.28,-1.012919499909739,0.012663137,0.08525235024642634,0.021903075,0.0003471703697767618,0.4,0.12254919
0,0,0.6434389721700554,0.31,0.3640673639895078,0.091671444,0.3750594051773746,0.8053104,0.8239778284923385,0.4,0.5809447
0,0,0.5727190308108372,0.24,0.48660397054464777,0.03601829,0.21163504146438186,0.3844058,0.23277123272224884,0.0,0.079272866
0,0,0.5092943181049218,0.12,0.08946259749976349,0.04000231,0.22553119454110832,0.21842703,0.9913118044985898,0.4,0.08365848
0,0,0.38828317663293466,0.17,-0.2851958698043766,0.019576028,0.12222362399171582,0.19232783,0.0012823860920409898,0.2,0.24224935
0,0,0.3715333427262156,0.15,-0.3967625917091645,0.015208983,0.09412635468639007,0.12120475,0.00032033128205258846,0.2,0.11767678
0,0,0.2825642799205763,0.41,-0.4502378345042124,0.24079423,0.2612744170667045,0.1279732,9.385177604957065e-05,0.2,0.12994774
0,0,0.3925798790602721,0.35,-0.24162534677573821,0.20814098,0.2370543232025751,0.21584855,0.0021610609779053286,0.2,0.16337502
0,0,0.45647257877532865,0.47,-0.10819528431837633,0.11387945,0.27701430999292703,0.35121834,0.009387828367723158,0.0,0.3771061
0,0,0.5578141983016267,0.14,0.08683740179939536,0.044889476,0.1653362320773397,0.36454266,0.22651716711761039,0.0,0.30490935
0,0,0.5564656614083715,0.49,0.09666948347521309,0.55403924,0.5850011871932725,0.6805697,0.7748685344937118,0.2,0.92509127
0,0,0.33120347886094653,0.2,-0.21461311234212388,0.024351202,0.13145015391558384,0.12947437,4.910733415402856e-05,0.2,0.20912884
0,0,0.30632689783752004,0.17,-0.4974281728315514,0.03298984,0.1354369730992109,0.15671119,0.0028940000373148976,0.0,0.14292789
0,0,0.29294139980217915,0.1,-0.5142653413917873,0.010982576,0.04635106941166865,0.013416169,0.007897229517758808,0.2,0.06116192
0,0,0.17791167678038852,0.06,-1.1713276214038846,0.0007961808,0.03201419135405119,0.00070300826,2.342767101347837e-07,0.0,0.018302886
0,0,0.35137878802113515,0.12,-0.3803068929044472,0.009532071,0.07390168307860287,0.167818,0.045735042626962194,0.2,0.19699569
0,0,0.3939164131807697,0.13,-0.12546874834300348,0.047172286,0.14567935361936976,0.13483079,6.760058790812851e-05,0.0,0.21783848
0,0,0.3939164131807697,0.13,-0.12546874834300348,0.047172286,0.14567935361936976,0.13483079,6.760058790812851e-05,0.0,0.21783848
